代码,名称,price,change,volume,turnover
603358,华达科技,33.17,2.57,50792.0,169332725.0
601019,山东出版,11.19,2.57,78073.0,87067234.0
603833,欧派家居,65.4,2.56,28545.0,186923790.0
002309,*ST中利,2.41,2.55,119286.0,28528479.04
002624,完美世界,10.45,2.55,392000.0,411909491.05
000530,冰山冷热,6.03,2.55,708459.0,425162805.65
688590,新致软件,18.51,2.55,311485.0,579371323.0
600011,华能国际,6.44,2.55,528401.0,338632396.0
688236,春立医疗,12.11,2.54,17148.0,20798161.0
002217,*ST合泰,2.02,2.54,350716.0,71455694.28
605566,福莱蒽特,18.64,2.53,14895.0,27751914.0
600381,ST春天,4.06,2.53,95640.0,38835488.0
688234,天岳先进,57.41,2.52,89509.0,515574960.0
688418,震有科技,31.79,2.52,68645.0,218253715.0
301109,军信股份,17.14,2.51,33565.0,56991625.4
000301,东方盛虹,8.57,2.51,232069.0,199164503.02
300518,新迅达,11.86,2.51,64315.0,76656126.22
001260,坤泰股份,17.19,2.5,18809.0,32385067.0
600000,浦发银行,10.65,2.5,594882.0,632694603.0
601963,重庆银行,9.03,2.5,93295.0,84080565.0
688013,天臣医疗,18.89,2.5,9662.0,18184630.0
600025,华能水电,9.04,2.49,489011.0,441312276.0
002512,达华智能,4.52,2.49,660196.0,301860230.0
003018,金富科技,9.88,2.49,30892.0,30286097.0
603127,昭衍新药,16.08,2.49,96014.0,156904743.0
002862,实丰文化,39.6,2.48,175105.0,700993615.6
600900,长江电力,28.9,2.48,995244.0,2863650427.0
603232,格尔软件,13.63,2.48,154922.0,212709796.0
301302,华如科技,21.52,2.48,99291.0,219188494.0
603056,德邦股份,14.53,2.47,54916.0,79384329.0
600235,民丰特纸,5.83,2.46,66779.0,39085334.0
603055,台华新材,10.85,2.46,57981.0,62684920.0
002262,恩华药业,22.97,2.45,103285.0,236352772.04
600844,丹化科技,2.51,2.45,206947.0,52654373.0
688787,海天瑞声,133.98,2.45,82349.0,1155442917.0
600968,海油发展,4.2,2.44,496057.0,209007210.0
002493,荣盛石化,8.83,2.44,243139.0,215531716.92
600894,广日股份,13.14,2.42,57130.0,75230210.0
002899,英派斯,23.51,2.4,84402.0,197654692.2
301296,新巨丰,9.86,2.39,64801.0,64248206.0
601288,农业银行,5.16,2.38,5647886.0,2902113570.0
300378,鼎捷数智,32.92,2.36,674361.0,2238537333.02
300930,屹通新材,26.86,2.36,17732.0,47629562.24
001205,盛航股份,17.81,2.36,33870.0,60284144.0
002479,富春环保,4.78,2.36,114524.0,54683461.09
601088,中国神华,40.0,2.35,294570.0,1172778344.0
002223,鱼跃医疗,35.83,2.34,74102.0,264758056.26
300191,潜能恒信,13.55,2.34,41459.0,55933201.0
603167,渤海轮渡,8.32,2.34,88350.0,73298947.0
601298,青岛港,9.21,2.33,108996.0,100376743.0
870508,丰安股份,13.17,2.33,9579.0,12662641.99
603227,雪峰科技,8.79,2.33,61534.0,53970281.0
600035,楚天高速,4.4,2.33,157444.0,69082999.0
603959,ST百利,3.97,2.32,109289.0,43436327.0
002027,分众传媒,6.62,2.32,1341593.0,886370214.11
002569,ST步森,8.39,2.32,10203.0,8555559.0
300973,立高食品,40.24,2.31,33284.0,134651284.87
833575,康乐卫士,19.05,2.31,13936.0,26299584.9
688178,万德斯,13.81,2.3,10412.0,14309678.0
002596,海南瑞泽,3.12,2.3,335497.0,105520012.0
600734,实达集团,4.02,2.29,2192878.0,894135048.0
600015,华夏银行,7.6,2.29,468991.0,355710554.0
600268,国电南自,7.19,2.28,203675.0,146292593.0
603101,汇嘉时代,7.66,2.27,97516.0,74727561.0
603226,菲林格尔,5.41,2.27,59523.0,32442280.0
002012,凯恩股份,4.96,2.27,153289.0,76852520.6
002835,同为股份,19.47,2.26,102686.0,199253032.0
002762,金发拉比,4.99,2.25,135210.0,67720790.28
601398,工商银行,6.82,2.25,3718662.0,2529075691.0
300029,ST天龙,4.55,2.25,23530.0,10704043.5
300575,中旗股份,5.92,2.25,97769.0,57684565.33
603001,奥康国际,5.03,2.24,88696.0,44599660.0
831087,秋乐种业,11.46,2.23,49648.0,57041654.92
601233,桐昆股份,11.93,2.23,363536.0,438715863.0
688606,奥泰生物,69.89,2.22,6908.0,47899588.0
601003,柳钢股份,2.76,2.22,154493.0,42711908.0
002440,闰土股份,6.9,2.22,83879.0,58231344.5
000601,韶能股份,4.15,2.22,92012.0,38139611.3
603137,恒尚节能,10.64,2.21,24288.0,25824520.0
000526,学大教育,42.14,2.21,42124.0,180657829.37
002521,齐峰新材,9.27,2.21,61210.0,57601970.8
002809,红墙股份,8.36,2.2,32794.0,27563707.5
603113,金能科技,5.58,2.2,128559.0,72708126.0
002905,金逸影视,7.94,2.19,140078.0,111681089.64
603976,正川股份,16.35,2.19,9975.0,16297285.0
601326,秦港股份,3.27,2.19,320579.0,105302198.0
002572,索菲亚,16.38,2.18,119302.0,195732437.0
000070,ST特信,5.62,2.18,110420.0,61766270.36
002458,益生股份,8.9,2.18,99094.0,88112055.0
601728,中国电信,7.06,2.17,876606.0,615860348.0
300871,回盛生物,10.37,2.17,25638.0,26639170.33
688617,惠泰医疗,378.5,2.16,3886.0,147958294.0
600410,华胜天成,9.0,2.16,3396590.0,3052349026.0
001309,德明利,104.39,2.15,129317.0,1333401022.62
002932,明德生物,18.11,2.14,18147.0,32793882.89
300453,三鑫医疗,7.63,2.14,39865.0,30412017.5
601333,广深铁路,3.34,2.14,550311.0,183973701.0
603060,国检集团,7.16,2.14,49420.0,35405035.0
833914,远航精密,15.77,2.14,23794.0,37246625.59
600078,澄星股份,5.75,2.13,78733.0,45606019.0
603995,甬金股份,20.15,2.13,65095.0,131279129.0
000429,粤高速Ａ,12.98,2.12,121918.0,158275824.83
300833,浩洋股份,43.3,2.12,16169.0,70020503.0
002226,江南化工,5.79,2.12,285588.0,165521859.39
002911,佛燃能源,11.64,2.11,42460.0,49303248.45
000933,神火股份,18.47,2.1,313334.0,574240455.6
600023,浙能电力,5.36,2.1,461247.0,246766074.0
600354,敦煌种业,5.85,2.09,270560.0,158649145.0
600398,海澜之家,8.78,2.09,521312.0,456095825.0
601985,中国核电,9.76,2.09,1310547.0,1279297907.0
002357,富临运业,7.32,2.09,71063.0,52277473.96
000993,闽东电力,8.33,2.08,70889.0,59143545.83
603676,卫信康,9.82,2.08,24030.0,23616290.0
605369,拱东医疗,29.58,2.07,7499.0,22053208.0
603871,嘉友国际,17.86,2.06,78235.0,140325129.0
000786,北新建材,31.28,2.06,145803.0,457359922.12
002608,江苏国信,7.45,2.05,189192.0,140958478.52
603301,振德医疗,21.9,2.05,37456.0,81626779.0
002895,川恒股份,22.4,2.05,86462.0,194587207.0
600873,梅花生物,10.03,2.03,198817.0,198847401.0
603033,三维股份,13.04,2.03,91886.0,119218405.0
003004,声迅股份,24.67,2.03,31582.0,79200765.07
601607,上海医药,20.15,2.03,137128.0,276268005.0
002352,顺丰控股,39.31,2.02,244974.0,965159752.71
000408,藏格矿业,30.76,2.02,130376.0,402293675.43
000963,华东医药,34.8,2.02,85814.0,298179011.4
002830,名雕股份,13.12,2.02,25376.0,33391252.09
603233,大参林,14.15,2.02,82017.0,115558465.0
601838,成都银行,17.19,2.02,241515.0,413725571.0
300505,川金诺,15.17,2.02,128458.0,196106945.0
688271,联影医疗,124.39,2.01,23487.0,293477246.0
